content,Classification,prediction
Sale expires in 15 hours and 13 minutes,0,1
For 48 Hours Only,0,1
John viewed this items 10 minutes ago,0,1
Paul viewed this items 10 minutes ago,0,1
John watched this items 10 minutes ago,0,1
Paul watched this items 10 minutes ago,0,1
John viewed this 10 minutes ago,0,1
Paul viewed this 10 minutes ago,0,1
John watched this 10 minutes ago,0,1
Paul watched this 10 minutes ago,0,1
John watched this product 10 minutes ago,0,1
Paul watched this product 10 minutes ago,0,1
John viewed this keyboard 10 minutes ago,0,1
Paul viewed this keyboard 10 minutes ago,0,1
John watched this keyboard 10 minutes ago,0,1
Paul watched this keyboard 10 minutes ago,0,1
John watched this 22’’ television 10 minutes ago,0,1
Paul watched this 22’’ television 10 minutes ago,0,1
John viewed this items just now,0,1
Paul viewed this items just now,0,1
John watched this items just now,0,1
Paul watched this items just now,0,1
John watched this just now,0,1
Paul watched this just now,0,1
John watched this keyboard just now,0,1
Paul watched this keyboard just now,0,1
John watched this 22’’ television just now,0,1
Paul watched this 22’’ television just now,0,1
36 watchers are on this page now,0,1
Eleven viewers are on this page,0,1
Jordan gives a like 2 mins ago,0,1
Item is selling fast ,0,1
The product is selling fast ,0,1
Selling Fast,0,1
Item ends soon,0,1
This item ends soon,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
Deal finishes in 06:35:25,0,1
This item finishes in 06:35:25,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
Deal finishes in 2 days,0,1
This item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
Deal finishes in ten hours,0,1
This item finishes in ten hours,0,1
"Videos on our Staff Picks - Most Popular Bongs, Vapes & Pipes",1,0
Popup content ends,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Most Popular,1,0
Last Chance,0,1
"In stock on November 13, 2021.",1,0
BACK IN STOCK,1,0
Back In Stock,1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
0 SOLD,0,1
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
