content,Classification,prediction
Your price for this item is $ 55,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
bought a,0,1
For 48 Hours Only,0,1
ENDS WEDNESDAY,0,1
The product for now is in low stock,0,1
John watched this in the last 3 hours,0,1
Paul watched this in the last 3 hours,0,1
John watched this product in the last 3 hours,0,1
Paul watched this product in the last 3 hours,0,1
John watched this keyboard in the last 3 hours,0,1
Paul watched this keyboard in the last 3 hours,0,1
John watched this 22’’ television in the last 3 hours,0,1
Paul watched this 22’’ television in the last 3 hours,0,1
John watched this in the last five hours,0,1
Paul watched this in the last five hours,0,1
John watched this product in the last five hours,0,1
Paul watched this product in the last five hours,0,1
John watched this keyboard in the last five hours,0,1
Paul watched this keyboard in the last five hours,0,1
John watched this 22’’ television in the last five hours,0,1
Paul watched this 22’’ television in the last five hours,0,1
John viewed this items 10 minutes ago,0,1
Paul viewed this items 10 minutes ago,0,1
John watched this items 10 minutes ago,0,1
Paul watched this items 10 minutes ago,0,1
John viewed this 10 minutes ago,0,1
Paul viewed this 10 minutes ago,0,1
John watched this 10 minutes ago,0,1
Paul watched this 10 minutes ago,0,1
John watched this product 10 minutes ago,0,1
Paul watched this product 10 minutes ago,0,1
John viewed this keyboard 10 minutes ago,0,1
Paul viewed this keyboard 10 minutes ago,0,1
John watched this keyboard 10 minutes ago,0,1
Paul watched this keyboard 10 minutes ago,0,1
John watched this 22’’ television 10 minutes ago,0,1
Paul watched this 22’’ television 10 minutes ago,0,1
John watched this just now,0,1
Paul watched this just now,0,1
John watched this product just now,0,1
John watched this keyboard just now,0,1
Paul watched this keyboard just now,0,1
John watched this 22’’ television just now,0,1
Jordan gives a like 2 mins ago,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
Deal finishes in 06:35:25,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
Deal finishes in ten hours,0,1
Where every day is a one-day sale.,1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
There really isn��t anything I can say that hasn��t already been said. If somebody said it was 300.00 I would say it��s a good buy.   At 149.00 it��s almost like stealing,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
Some people switch from Verizon to T-Mobile.?But one of the most rewarding switches is going from dry herb to concentrates.,1,0
Some functionality will be limited.,1,0
popular times,1,0
Plus Limited Edition Heart Back Print Sweat,1,0
Oversized Limited Graphic Overdyed T-shirt,1,0
Out of Stock,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
Offer applies at,1,0
More                                exclusive offers Only in EUR,1,0
Limited Edition ($19.99):,1,0
Limited Edition,1,0
Last Chance,0,1
Include Out of Stock,1,0
"In stock on November 13, 2021.",1,0
"If you break this product, your next one is 50% off!",1,0
Glasscity Limited Edition Cobalt Blue Beaker Ice Bong,1,0
Get This Deal!,1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
As you were browsing something about your browser made us think you were a bot. There are a few reasons this might happen:,1,0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",1,0
0 SOLD,0,1
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
(Others charge $35-$59 on orders of less than 12 pieces),1,0
"""It��s for both dabs and flowers and I can��t call it 100% cough free but I definitely don��t feel like I��m gonna have any more coughing fits like in the past this definitely calms the cough! """,1,0
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
