content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
Eleven viewers are on this page,0,1
finishes in 06:35:25,0,1
Your price for this item is $,1,0
Your cart is currently empty.,1,0
You'll now receive emails from Gap. Check your inbox for your exclusive welcome offer. ​,1,0
We'll start sewing and ship your order in 12-18 business days,1,0
"We detected that you may have open carts on other devices, did you want to merge items from those?",1,0
This piece looks amazing. It was delivered in perfect condition. If your willing to spend this much money it is defiantly worth it.,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
Some functionality will be limited.,1,0
SHEIN Lace Detail High Low Puff Sleeve Dress Without Belt,1,0
See why this is America’s favorite hat,1,0
Popup content ends,1,0
Plus Limited Edition Heart Back Print Sweat,1,0
Oversized Limited Graphic Overdyed T-shirt,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
Offer applies to first-time registrants,1,0
No thanks. I'll shop without cookies.,1,0
New Users Only,1,0
More                                exclusive offers Only in EUR,1,0
Limited Edition,1,0
Last Chance,0,1
items in row,1,0
item in row,1,0
Invest in High Tide,1,0
"In stock on November 13, 2021.",1,0
"If you break this product, your next one is 50% off!",1,0
Glasscity Limited Edition Cobalt Blue Beaker Ice Bong,1,0
Get This Deal!,1,0
First test excellent. Will no doubt be running more tests in the not too distant future.,1,0
Enter your email and we’ll send you a coupon code plus notify you any time we have sales and promotions in the future!,1,0
"Discover some truly seasonal steals in the Burton sale. You'll get the look you're after for less, but be quick, most stuff won't be sticking around for long so head to the checkout to avoid disappoin",1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",1,0
"A third-party browser plugin, such as Ghostery or NoScript, is preventing JavaScript from running. Additional information is available in this",1,0
0 SOLD,0,1
*Valid on items marked “Black Friday Prices Guaranteed” and for Best Buy Totaltech™ and My Best Buy® members only. See sale page for full details.,1,0
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
"""It��s for both dabs and flowers and I can��t call it 100% cough free but I definitely don��t feel like I��m gonna have any more coughing fits like in the past this definitely calms the cough! """,1,0
