content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 11,1,0
The product for now is in low stock,0,1
Eleven viewers are on this page,0,1
Jordan gives a like 2 mins ago,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
 finishes in ten hours,0,1
Winner of the High Times Cup Best Glass Award,1,0
We offer upgraded shipping options at checkout.,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
Some functionality will be limited.,1,0
SHEIN Slogan Graphic Drop Shoulder High Low Hem Dress,1,0
SHEIN Lace Detail High Low Puff Sleeve Dress Without Belt,1,0
Popup content ends,1,0
Plus Limited Edition Heart Back Print Sweat,1,0
Oversized Limited Graphic Overdyed T-shirt,1,0
Out of Stock,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
New Users Only,1,0
More                                exclusive offers Only in EUR,1,0
Limited Edition ($19.99):,1,0
Limited Edition,1,0
Last Sizes,1,0
items in row,1,0
item in row,1,0
Invest in High Tide,1,0
Include Out of Stock,1,0
"In stock on November 13, 2021.",1,0
Images only,1,0
Glasscity Limited Edition Cobalt Blue Beaker Ice Bong,1,0
"Get your #hustlergangstyle tips! Hot deals, exclusive offers and fashion inspo are almost in your pocket 😉",1,0
Get This Deal!,1,0
Double Pocket Seam Detail Fake Button High Low Sweater,1,0
Disclaimer: Offer valid for new customers only. Cannot be combined with any other offer.,1,0
Butterfly Sleeve Ruffle High Low Hem Dress,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
As you were browsing something about your browser made us think you were a bot. There are a few reasons this might happen:,1,0
"After viewing product detail pages, look here to find an easy way to navigate back to pages you are interested in.",1,0
"5 Days,",1,0
15 Seconds,1,0
08/11/2021 03:00 ~ 15/11/2021 15:59,1,0
0 SOLD,0,1
"*Extra 15% discount is for new subscribers only. By subscribing, you agree to receive marketing communications from Burton by email. You can unsubscribe at any point.",1,0
(Others charge $35-$59 on orders of less than 12 pieces),1,0
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
