content,Classification,prediction
Paul watched this items 10 minutes ago,0,1
John watched this 10 minutes ago,0,1
Paul watched this 10 minutes ago,0,1
Paul watched this product 10 minutes ago,0,1
John watched this just now,0,1
Paul watched this just now,0,1
Paul watched this product just now,0,1
Eleven viewers are on this page,0,1
Jordan gives a like 2 mins ago,0,1
finishes in 06:35:25,0,1
Item finishes in 06:35:25,0,1
Deal finishes in 06:35:25,0,1
This item finishes in 06:35:25,0,1
finishes in 2 days,0,1
Item finishes in 2 days,0,1
 finishes in ten hours,0,1
Item finishes in ten hours,0,1
You successfully added these products to Board !,1,0
"The double tree perc I bought is now my life partner. It is perfect, wouldn't change a thing. Saving this website for any future needs ?",1,0
Tall Limited Gothic Applique Tracksuit,1,0
See why this is America’s favorite hat,1,0
Receive and approve logo proof via email within 2-3 business days.,1,0
Popup content ends,1,0
popular times,1,0
Out of Stock,1,0
OFFER VALID FOR FIRST TIME SUBSCRIBERS ONLY,1,0
New Users Only,1,0
Most Versatile Vape Battery,1,0
Most relevant,1,0
Most Relevant,1,0
Most Powerful Hand E-Nail Bubbler,1,0
Most Popular,1,0
More                                exclusive offers Only in EUR,1,0
Limited quantities. See product detail pages for availability.,0,1
Last Chance,0,1
Include Out of Stock,1,0
"In stock on November 13, 2021.",1,0
Images only,1,0
BACK IN STOCK,1,0
Back In Stock,1,0
"5 Days,",1,0
0 SOLD,0,1
"""I've never tried one before, so my husband and my son told me that it's easy and bought me this. But I love it:sparkling_heart: Thank you:+1:""",1,0
