content,Classification,prediction
Your price for this item is $ 89,1,0
Your price for this item is $ 79,1,0
Your price for this item is $ 55,1,0
Your price for this item is $ 49,1,0
Your price for this item is $ 21,1,0
Your price for this item is $ 11,1,0
Time left,0,0
someone from Unite States bought a Msi Gtx 1080 6GB,0,0
Someone from Italy bought a Cmiroud bluetooth headphone,0,0
Sale expires in 15 hours and 13 minutes,0,0
Sale expires in 15 hours and 11 minutes,0,0
Only 7 left in stock.,0,0
Only 5 left in stock.,0,0
Only 4 left in stock.,0,0
Only 2 Left! ⌛,0,0
Only 1 Left! ⌛,0,0
Only 1 left in stock.,0,0
low stock,0,0
Jully bought a keyboard 2 days ago,0,0
HURRY ENDS SOON!,0,0
Deal ends in 15:12:59,0,0
bought a,0,0
For 48 Hours Only,0,0
Limited stock available,0,0
ENDS WEDNESDAY,0,0
6 - In Stock,0,0
8 - In Stock,0,0
10 - In Stock,0,0
12 - In Stock,0,0
14 - In Stock,0,0
16 - In Stock,0,0
18 - In Stock,0,0
Item currently only 2 left,0,0
This item currently only 2 left,0,0
The product currently only 2 left,0,0
Item for now only 2 left,0,0
This item for now only 2 left,0,0
The product for now only 2 left,0,0
Item currently has only 2 left,0,0
This item currently has only 2 left,0,0
The product currently has only 2 left,0,0
Item for now has only 2 left,0,0
This item for now has only 2 left,0,0
The product for now has only 2 left,0,0
Item currently only two left ,0,0
This item currently only two left ,0,0
The product currently only two left ,0,0
Item for now only two left ,0,0
This item for now only two left ,0,0
The product for now only two left ,0,0
Item currently has only two left ,0,0
This item currently has only two left ,0,0
The product currently has only two left ,0,0
Item for now has only two left ,0,0
This item for now has only two left ,0,0
The product for now has only two left ,0,0
Item currently only 2 left in stock,0,0
This item currently only 2 left in stock,0,0
The product currently only 2 left in stock,0,0
Item for now only 2 left in stock,0,0
This item for now only 2 left in stock,0,0
The product for now only 2 left in stock,0,0
Item currently has only 2 left in stock,0,0
This item currently has only 2 left in stock,0,0
The product currently has only 2 left in stock,0,0
Item for now has only 2 left in stock,0,0
This item for now has only 2 left in stock,0,0
The product for now has only 2 left in stock,0,0
Item currently only two left in stock,0,0
This item currently only two left in stock,0,0
The product currently only two left in stock,0,0
Item for now only two left in stock,0,0
This item for now only two left in stock,0,0
The product for now only two left in stock,0,0
Item currently has only two left in stock,0,0
This item currently has only two left in stock,0,0
The product currently has only two left in stock,0,0
Item for now has only two left in stock,0,0
This item for now has only two left in stock,0,0
The product for now has only two left in stock,0,0
Item currently is in low stock,0,0
This item currently is in low stock,0,0
The product currently is in low stock,0,0
Item for now is in low stock,0,0
This item for now is in low stock,0,0
The product for now is in low stock,0,0
3 people viewed this items in the last 3 hours,0,0
Twenty people viewed this items in the last 3 hours,0,0
John viewed this items in the last 3 hours,0,0
Paul viewed this items in the last 3 hours,0,0
3 people watched this items in the last 3 hours,0,0
Twenty people watched this items in the last 3 hours,0,0
John watched this items in the last 3 hours,0,0
Paul watched this items in the last 3 hours,0,0
3 people viewed this in the last 3 hours,0,0
Twenty people viewed this in the last 3 hours,0,0
John viewed this in the last 3 hours,0,0
Paul viewed this in the last 3 hours,0,0
3 people watched this in the last 3 hours,0,0
Twenty people watched this in the last 3 hours,0,0
John watched this in the last 3 hours,0,0
Paul watched this in the last 3 hours,0,0
3 people viewed this product in the last 3 hours,0,0
Twenty people viewed this product in the last 3 hours,0,0
John viewed this product in the last 3 hours,0,0
Paul viewed this product in the last 3 hours,0,0
3 people watched this product in the last 3 hours,0,0
Twenty people watched this product in the last 3 hours,0,0
John watched this product in the last 3 hours,0,0
Paul watched this product in the last 3 hours,0,0
3 people viewed this keyboard in the last 3 hours,0,0
Twenty people viewed this keyboard in the last 3 hours,0,0
John viewed this keyboard in the last 3 hours,0,0
Paul viewed this keyboard in the last 3 hours,0,0
3 people watched this keyboard in the last 3 hours,0,0
Twenty people watched this keyboard in the last 3 hours,0,0
John watched this keyboard in the last 3 hours,0,0
Paul watched this keyboard in the last 3 hours,0,0
3 people viewed this 22’’ television in the last 3 hours,0,0
Twenty people viewed this 22’’ television in the last 3 hours,0,0
John viewed this 22’’ television in the last 3 hours,0,0
Paul viewed this 22’’ television in the last 3 hours,0,0
3 people watched this 22’’ television in the last 3 hours,0,0
Twenty people watched this 22’’ television in the last 3 hours,0,0
John watched this 22’’ television in the last 3 hours,0,0
Paul watched this 22’’ television in the last 3 hours,0,0
3 people viewed this items in the last five hours,0,0
Twenty people viewed this items in the last five hours,0,0
